0,50,-1.1344,-0.68252,-1.0487,-2.1575,-3.6917,-5.1994,-6.2238,-6.43
0,100,0.94949,2.606,2.5449,0.91664,-1.6496,-4.2565,-5.9977,-6.2115
0,150,3.5707,6.466,6.671,4.3898,0.53835,-3.5711,-6.6176,-7.6287
1,50,-1.3175,-0.97988,-1.4436,-2.6406,-4.2565,-5.8411,-6.9386,-7.2148
1,100,0.65213,2.1229,1.9032,0.13189,-2.567,-5.2988,-7.1588,-7.4863
1,150,3.1757,5.8244,5.8188,3.3475,-0.68018,-4.9555,-8.1597,-9.3219
2,50,0.38269,0.7203,0.25655,-0.94039,-2.5563,-4.1409,-5.2384,-5.5146
2,100,3.4141,4.8849,4.6652,2.8938,0.19497,-2.5369,-4.3968,-4.7243
2,150,6.8441,9.4928,9.4873,7.0159,2.9883,-1.287,-4.4913,-5.6535
3,50,-1.1344,-0.68252,-1.0487,-2.1575,-3.6917,-5.1994,-6.2238,-6.43
3,100,0.94949,2.606,2.5449,0.91664,-1.6496,-4.2565,-5.9977,-6.2115
3,150,3.5707,6.466,6.671,4.3898,0.53835,-3.5711,-6.6176,-7.6287
4,50,0.56574,1.0177,0.65151,-0.45732,-1.9915,-3.4993,-4.5236,-4.7299
4,100,3.7114,5.3679,5.3068,3.6786,1.1124,-1.4946,-3.2358,-3.4495
4,150,7.2391,10.134,10.339,8.0582,4.2068,0.097381,-2.9492,-3.9602
5,50,-1.7095,-1.2576,-1.6237,-2.7325,-4.2668,-5.7745,-6.7989,-7.0051
5,100,0.01533,1.6718,1.6107,-0.017522,-2.5837,-5.1907,-6.9319,-7.1456
5,150,2.3299,5.2253,5.4303,3.149,-0.70241,-4.8118,-7.8584,-8.8694
6,50,-0.009307,0.44262,0.076467,-1.0324,-2.5666,-4.0743,-5.0987,-5.3049
6,100,2.7773,4.4338,4.3727,2.7444,0.17823,-2.4287,-4.1699,-4.3837
6,150,5.9983,8.8937,9.0987,6.8175,2.966,-1.1434,-4.1899,-5.201
0,0,0,0,0,0,0,0,0,0
0,50,3.4188,3.7958,4.1177,4.4083,4.6776,4.9312,5.1723,5.4032
0,100,5.5538,6.1663,6.6892,7.1613,7.5988,8.0107,8.4024,8.7776
0,150,7.3766,8.1901,8.8846,9.5116,10.093,10.64,11.16,11.658
1,50,3.6018,4.0932,4.5126,4.8913,5.2424,5.5728,5.887,6.188
1,100,5.8512,6.6494,7.3308,7.946,8.5162,9.053,9.5634,10.052
1,150,7.7716,8.8317,9.7368,10.554,11.311,12.024,12.702,13.352
2,50,2.1017,2.593,3.0125,3.3912,3.7422,4.0726,4.3868,4.6878
2,100,3.4142,4.2123,4.8938,5.509,6.0792,6.6159,7.1264,7.6153
2,150,4.5347,5.5948,6.4999,7.317,8.0744,8.7873,9.4653,10.115
3,50,3.4188,3.7958,4.1177,4.4083,4.6776,4.9312,5.1723,5.4032
3,100,5.5538,6.1663,6.6892,7.1613,7.5988,8.0107,8.4024,8.7776
3,150,7.3766,8.1901,8.8846,9.5116,10.093,10.64,11.16,11.658
4,50,1.9186,2.2956,2.6175,2.9081,3.1774,3.431,3.6721,3.903
4,100,3.1168,3.7293,4.2521,4.7242,5.1618,5.5736,5.9653,6.3405
4,150,4.1397,4.9532,5.6477,6.2747,6.8558,7.4029,7.9231,8.4215
5,50,3.7938,4.1709,4.4927,4.7833,5.0527,5.3062,5.5473,5.7783
5,100,6.1631,6.7756,7.2985,7.7705,8.2081,8.6199,9.0116,9.3868
5,150,8.1859,8.9993,9.6938,10.321,10.902,11.449,11.969,12.468
6,50,2.2937,2.6707,2.9925,3.2831,3.5525,3.806,4.0471,4.2781
6,100,3.7261,4.3385,4.8614,5.3335,5.771,6.1829,6.5746,6.9498
6,150,4.949,5.7624,6.4569,7.0839,7.6651,8.2121,8.7324,9.2307
0,0,0,0,0,0,0,0,0,0
0,50,45.578,50.605,54.896,58.77,62.361,65.741,68.955,72.034
0,100,74.042,82.207,89.178,95.472,101.31,106.8,112.02,117.02
0,150,98.343,109.19,118.45,126.81,134.55,141.85,148.78,155.43
1,50,48.019,54.569,60.161,65.21,69.89,74.295,78.484,82.496
1,100,78.007,88.648,97.732,105.93,113.54,120.69,127.5,134.02
1,150,103.61,117.74,129.81,140.7,150.8,160.3,169.34,178
2,50,28.019,34.569,40.161,45.21,49.89,54.295,58.484,62.496
2,100,45.517,56.158,65.242,73.444,81.046,88.202,95.007,101.53
2,150,60.455,74.589,86.655,97.548,107.65,117.15,126.19,134.85
3,50,45.578,50.605,54.896,58.77,62.361,65.741,68.955,72.034
3,100,74.042,82.207,89.178,95.472,101.31,106.8,112.02,117.02
3,150,98.343,109.19,118.45,126.81,134.55,141.85,148.78,155.43
4,50,25.578,30.605,34.896,38.77,42.361,45.741,48.955,52.034
4,100,41.552,49.717,56.688,62.982,68.815,74.306,79.528,84.53
4,150,55.19,66.035,75.293,83.652,91.4,98.693,105.63,112.27
5,50,50.578,55.605,59.896,63.77,67.361,70.741,73.955,77.034
5,100,82.165,90.33,97.301,103.59,109.43,114.92,120.14,125.14
5,150,109.13,119.98,129.24,137.59,145.34,152.64,159.57,166.21
6,50,30.578,35.605,39.896,43.77,47.361,50.741,53.955,57.034
6,100,49.675,57.84,64.811,71.104,76.937,82.428,87.65,92.652
6,150,65.978,76.823,86.082,94.441,102.19,109.48,116.42,123.06
0,0,0,0,0,0,0,0,0,0
0,50,3.4767,4.3121,5.1108,5.8886,6.6523,7.4054,8.1502,8.8883
0,100,6.0962,7.6727,9.1895,10.672,12.132,13.575,15.004,16.422
0,150,8.5072,10.802,13.017,15.187,17.327,19.444,21.543,23.627
1,50,3.4767,4.3121,5.1108,5.8886,6.6523,7.4054,8.1502,8.8883
1,100,6.0962,7.6727,9.1895,10.672,12.132,13.575,15.004,16.422
1,150,8.5072,10.802,13.017,15.187,17.327,19.444,21.543,23.627
2,50,3.2767,4.1121,4.9108,5.6886,6.4523,7.2054,7.9502,8.6883
2,100,5.7713,7.3478,8.8646,10.347,11.807,13.25,14.679,16.097
2,150,8.0757,10.37,12.585,14.756,16.895,19.012,21.111,23.196
3,50,3.4767,4.3121,5.1108,5.8886,6.6523,7.4054,8.1502,8.8883
3,100,6.0962,7.6727,9.1895,10.672,12.132,13.575,15.004,16.422
3,150,8.5072,10.802,13.017,15.187,17.327,19.444,21.543,23.627
4,50,3.2767,4.1121,4.9108,5.6886,6.4523,7.2054,7.9502,8.6883
4,100,5.7713,7.3478,8.8646,10.347,11.807,13.25,14.679,16.097
4,150,8.0757,10.37,12.585,14.756,16.895,19.012,21.111,23.196
5,50,3.6767,4.5121,5.3108,6.0886,6.8523,7.6054,8.3502,9.0883
5,100,6.4211,7.9976,9.5144,10.997,12.457,13.9,15.329,16.747
5,150,8.9388,11.233,13.449,15.619,17.758,19.875,21.974,24.059
6,50,3.4767,4.3121,5.1108,5.8886,6.6523,7.4054,8.1502,8.8883
6,100,6.0962,7.6727,9.1895,10.672,12.132,13.575,15.004,16.422
6,150,8.5072,10.802,13.017,15.187,17.327,19.444,21.543,23.627
0,0,0,0,0,0,0,0,0,0
