"SYMBOL,0,1,2,3,4,5,6"
"POWER_SA,50,50,50,50,50,50,50"
"ENERGY_SA,375,375,375,375,375,375,375"
"cc_p,37.53,37.53,17.53,37.53,17.53,42.53,22.53"
"cc_e,55.21,75.21,75.21,55.21,55.21,55.21,55.21"
"om_p,1.88,1.88,1.68,1.68,1.68,2.08,1.88"
"om_e,2.76,2.76,2.76,2.76,2.76,2.76,2.76"
"scale,0.7,0.7,0.7,0.7,0.7,0.7,0.7"
"coldStart,75,75,75,75,75,75,75"
"warmStart,58,58,58,58,58,58,58"
"hotStart,36,36,36,36,36,36,36"
